Name,ExternalSourceMediaInfoId,MediaName,CodecID,bIsStreamed,bUseDeviceMemory,MemoryAlignment,PrefetchSize
201,201.0,body,2.0,TRUE,FALSE,22.0,0.0
201,201.0,body,2.0,2TRUE,2FALSE,22.0,0.0
22,,,,,,,
201,201.0,body,2.0,2TRUE,2FALSE,22.0,0.0
33,33.0,VO_C01_33_Battle.wem,4.0,TRUE,FALSE,0.0,0.0
147,147.0,VO_C03_43_Emotion.wem,4.0,TRUE,FALSE,0.0,0.0
201,201.0,body,2.0,TRUE,FALSE,22.0,0.0
524,524.0,VO_C10_50_Emotion.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
201,,body,,,,,
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
333,333.0,.wem,4.0,TRUE,FALSE,0.0,0.0
