Row,AudioID,AudioName,AudioEvent,Desc,IsLoop,FadeDuration,FadeCurveNum,ObjectType
8027,8027,AKE_Play_Mon_Boss_Body_B01_Kick,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Boss/Mon_Boss_B01/Mon_Boss_Body_B01/AKE_Play_Mon_Boss_Body_B01_Kick.AKE_Play_Mon_Boss_Body_B01_Kick',B01灰姑娘Boss_AshleyKnightKick_踢腿砸地,False,1000,8,0
8110,8110,AKE_Play_Mon_Mob_Foley_M01_Getup,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Foley_M01/AKE_Play_Mon_Mob_Foley_M01_Getup.AKE_Play_Mon_Mob_Foley_M01_Getup',M01狼人_起身,False,1000,8,0
8114,8114,AKE_Play_Mon_Mob_Foley_M01_Run,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Foley_M01/AKE_Play_Mon_Mob_Foley_M01_Run.AKE_Play_Mon_Mob_Foley_M01_Run',M01狼人_通用Foley_跑,False,1000,8,0
8119,8119,AKE_Play_Mon_Mob_Shout_M01_Born_Trans,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Born_Trans.AKE_Play_Mon_Mob_Shout_M01_Born_Trans',M01狼人_shoutvoice_变身入战,False,1000,8,0
8121,8121,AKE_Play_Mon_Mob_Shout_M01_Threaten,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Threaten.AKE_Play_Mon_Mob_Shout_M01_Threaten',M01狼人_shoutvoice_威胁grunt,False,1000,8,0
8125,8125,AKE_Play_Mon_Mob_Shout_M01_Hit_Hvy,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Hit_Hvy.AKE_Play_Mon_Mob_Shout_M01_Hit_Hvy',M01狼人_shoutvoice_重受击,False,1000,8,0
8126,8126,AKE_Play_Mon_Mob_Shout_M01_Death,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Death.AKE_Play_Mon_Mob_Shout_M01_Death',M01狼人_shoutvoice_轻死亡,False,1000,8,0
8130,8130,AKE_Play_Mon_Mob_Shout_M01_Getup,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Getup.AKE_Play_Mon_Mob_Shout_M01_Getup',M01狼人_shoutvoice_倒地后起身,False,1000,8,0
8131,8131,AKE_Play_Mon_Mob_Shout_M01_Sprint,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Sprint.AKE_Play_Mon_Mob_Shout_M01_Sprint',M01狼人_shoutvoice_冲刺,False,1000,8,0
8132,8132,AKE_Play_Mon_Mob_Shout_M01_Atk,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Atk.AKE_Play_Mon_Mob_Shout_M01_Atk',M01狼人_shoutvoice_轻攻击,False,1000,8,0
8133,8133,AKE_Play_Mon_Mob_Shout_M01_Atk_Hvy,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Atk_Hvy.AKE_Play_Mon_Mob_Shout_M01_Atk_Hvy',M01狼人_shoutvoice_重攻击,False,1000,8,0
8134,8134,AKE_Play_Mon_Mob_Shout_M01_Atk_D,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Atk_D.AKE_Play_Mon_Mob_Shout_M01_Atk_D',M01狼人_shoutvoice_下攻击,False,1000,8,0
8135,8135,AKE_Play_Mon_Mob_Shout_M01_Step,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Shout_M01/AKE_Play_Mon_Mob_Shout_M01_Step.AKE_Play_Mon_Mob_Shout_M01_Step',M01狼人_shoutvoice_位移（垫步）,False,1000,8,0
8141,8141,AKE_Play_Mon_Mob_Skill_M01_Atk1,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Skill_M01/AKE_Play_Mon_Mob_Skill_M01_Atk1.AKE_Play_Mon_Mob_Skill_M01_Atk1',M01狼人_技能1_起手,False,1000,8,0
8142,8142,AKE_Play_Mon_Mob_Skill_M01_Atk2,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Skill_M01/AKE_Play_Mon_Mob_Skill_M01_Atk2.AKE_Play_Mon_Mob_Skill_M01_Atk2',M01狼人_技能2_起手,False,1000,8,0
8143,8143,AKE_Play_Mon_Mob_Skill_M01_Step,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Skill_M01/AKE_Play_Mon_Mob_Skill_M01_Step.AKE_Play_Mon_Mob_Skill_M01_Step',M01狼人_垫步,False,1000,8,0
8147,8147,AKE_Play_Mon_Mob_Skill_M01_Death,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M01/Mon_Mob_Skill_M01/AKE_Play_Mon_Mob_Skill_M01_Death.AKE_Play_Mon_Mob_Skill_M01_Death',M01狼人_死亡_原地死亡,False,1000,8,0
8149,8149,AKE_Play_Mon_Mob_Foley_M02_Run,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Foley_M02/AKE_Play_Mon_Mob_Foley_M02_Run.AKE_Play_Mon_Mob_Foley_M02_Run',M02僵尸蜡烛人_action_跑,False,1000,8,0
8152,8152,AKE_Play_Mon_Mob_Foley_M02_Death,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Foley_M02/AKE_Play_Mon_Mob_Foley_M02_Death.AKE_Play_Mon_Mob_Foley_M02_Death',M02僵尸蜡烛人_action_死亡倒地,False,1000,8,0
8153,8153,AKE_Play_Mon_Mob_Foley_M02_Getup,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Foley_M02/AKE_Play_Mon_Mob_Foley_M02_Getup.AKE_Play_Mon_Mob_Foley_M02_Getup',M02僵尸蜡烛人_action_起身,False,1000,8,0
8156,8156,AKE_Play_Mon_Mob_Foley_M02_Fall_Down,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Foley_M02/AKE_Play_Mon_Mob_Foley_M02_Fall_Down.AKE_Play_Mon_Mob_Foley_M02_Fall_Down',M02僵尸蜡烛人_action_通用倒地非死亡,False,1000,8,0
8157,8157,AKE_Play_Mon_Mob_Shout_M02_Atk,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Shout_M02/AKE_Play_Mon_Mob_Shout_M02_Atk.AKE_Play_Mon_Mob_Shout_M02_Atk',M02僵尸蜡烛人_shout_轻攻击,False,1000,8,0
8158,8158,AKE_Play_Mon_Mob_Shout_M02_Atk_Hvy,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Shout_M02/AKE_Play_Mon_Mob_Shout_M02_Atk_Hvy.AKE_Play_Mon_Mob_Shout_M02_Atk_Hvy',M02僵尸蜡烛人_shout_重攻击,False,1000,8,0
8165,8165,AKE_Play_Mon_Mob_Shout_M02_Hit_Hvy,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Shout_M02/AKE_Play_Mon_Mob_Shout_M02_Hit_Hvy.AKE_Play_Mon_Mob_Shout_M02_Hit_Hvy',M02僵尸蜡烛人_shout_重受击,False,1000,8,0
8167,8167,AKE_Play_Mon_Mob_Shout_M02_Death,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Shout_M02/AKE_Play_Mon_Mob_Shout_M02_Death.AKE_Play_Mon_Mob_Shout_M02_Death',M02僵尸蜡烛人_shout_轻死亡,False,1000,8,0
8170,8170,AKE_Play_Mon_Mob_Shout_M02_Struggle,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Shout_M02/AKE_Play_Mon_Mob_Shout_M02_Struggle.AKE_Play_Mon_Mob_Shout_M02_Struggle',M02僵尸蜡烛人_shout_Struggle，用于SK11,False,1000,8,0
8171,8171,AKE_Play_Mon_Mob_Skill_M02_Born,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Skill_M02/AKE_Play_Mon_Mob_Skill_M02_Born.AKE_Play_Mon_Mob_Skill_M02_Born',M02僵尸蜡烛人_入战表现,False,1000,8,0
8172,8172,AKE_Play_Mon_Mob_Skill_M02_Atk1,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Skill_M02/AKE_Play_Mon_Mob_Skill_M02_Atk1.AKE_Play_Mon_Mob_Skill_M02_Atk1',M02僵尸蜡烛人_技能1,False,1000,8,0
8173,8173,AKE_Play_Mon_Mob_Skill_M02_Atk2,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Skill_M02/AKE_Play_Mon_Mob_Skill_M02_Atk2.AKE_Play_Mon_Mob_Skill_M02_Atk2',M02僵尸蜡烛人_技能2,False,1000,8,0
8174,8174,AKE_Play_Mon_Mob_Skill_M02_Atk3,/Script/AkAudio.AkAudioEvent'/Game/Audio/WwiseAudio/Events/v1/Mon/Mon_Mob/Mon_Mob_M02/Mon_Mob_Skill_M02/AKE_Play_Mon_Mob_Skill_M02_Atk3.AKE_Play_Mon_Mob_Skill_M02_Atk3',M02僵尸蜡烛人_技能3,False,1000,8,0
